
1,1,Hello,myers
2,1,I'm talking to myself lol,myers
3,1,Hi,b6510405598
4,2,Maybe this evening,b6510405598
5,1,Hello,myers
6,2,I think that is a bit early?,myers
7,2,But I guess it's fine the earlier the better.,myers
8,5,Hello Jang,leodav
9,5,WRu doin,leodav
10,5,Im sleepin hbu,jangwei
11,5,Im sleepin too,leodav
12,5,Ok good night.,jangwei
13,5,99,leodav
14,5,99+,leodav
15,6,Anyone here?,leewill
16,6,Im here.,robert e. clark
17,6,Whats wrong Lee?,robert e. clark
18,6,Im just bored.,leewill
19,6,K.,robert e. clark
20,7,Anyone here!!,william h. mccallister
21,7,How rude.,egreane
